"Você é cliente vivo?
",Com que frequência voce utiliza o app da vivo?,Qual é a frequência mínima de atualização das informações do saldo e consumo em gigabytes no aplicativo que você considera necessária para garantir uma experiência satisfatória?,Quais dados você mais procura no app da vivo?,"
Você enfrenta problemas de desempenho, como lentidão ou travamentos, ao utilizar o aplicativo?",Como atrasos ou frequências de atualização menos frequentes das informações de consumo impactam sua experiência com o aplicativo?,Qual a sua satisfação com o tempo de resposta das consultas?,Qual serviço voce mais utiliza no app da vivo?,"A presença de dados desatualizados, mas com a opção de atualizá-los por meio de um botão, representaria um problema para você?"
Não,Nunca usei,As informações podem ser atualizadas a cada 1 hora,Fatura,Às vezes enfrento problemas,Impacto Moderado,Neutro(a),Ajuda técnica,Não
Não,Nunca usei,As informações precisam ser em tempo real,Não uso o app,Nunca enfrento problemas,Impacto Moderado,Neutro(a),Não uso o app,Não
Sim,Semanalmente,As informações precisam ser em tempo real,Consumo de internet,Às vezes enfrento problemas,Impacto Moderado,Neutro(a),Benefícios ,Sim
Não,Raramente,As informações precisam ser em tempo real,Fatura,Nunca enfrento problemas,Impacto Mínimo,Muito Satisfeito(a),Ajuda técnica,Não
Sim,Raramente,As informações precisam ser em tempo real,Fatura,Nunca enfrento problemas,Impacto Mínimo,Satisfeito(a),Busca da fatura,Não
Sim,Semanalmente,As informações precisam ser em tempo real,Consumo de internet,Raramente enfrento problemas,Impacto Mínimo,Neutro(a),Comprar mais banda,Sim
Sim,Nunca usei,As informações precisam ser em tempo real,N/A,Nunca enfrento problemas,Sem Impacto,Neutro(a),N/A,Sim
Sim,Mensalmente,As informações podem ser atualizadas a cada 30 minutos,Consumo de internet,Nunca enfrento problemas,Impacto Mínimo,Satisfeito(a),Comprar mais banda,Não
Não,Nunca usei,As informações precisam ser em tempo real,Consumo de internet,Nunca enfrento problemas,Sem Impacto,Muito Satisfeito(a),Marketplace,Não
Sim,Nunca usei,As informações podem ser atualizadas a cada 1 hora,Não uso o aplicativo,Nunca enfrento problemas,Sem Impacto,Neutro(a),Nada,Não
Sim,Semanalmente,As informações podem ser atualizadas a cada 10 minutos,Consumo de internet,Frequentemente enfrento problemas,Impacto Moderado,Muito Insatisfeito(a),Marketplace,Não
Sim,Raramente,As informações podem ser atualizadas a cada 10 minutos,Consumo de internet,Frequentemente enfrento problemas,Impacto Moderado,Insatisfeito(a),Comprar mais banda,Não
Sim,Semanalmente,As informações podem ser atualizadas a cada 10 minutos,Saldo disponível,Frequentemente enfrento problemas,Impacto Moderado,Muito Insatisfeito(a),Marketplace,Não
Sim,Mensalmente,As informações podem ser atualizadas a cada 10 minutos,Consumo de internet,Frequentemente enfrento problemas,Impacto Moderado,Insatisfeito(a),Ajuda técnica,Não
Sim,Semanalmente,As informações podem ser atualizadas a cada 10 minutos,Saldo disponível,Raramente enfrento problemas,Impacto Mínimo,Insatisfeito(a),Ajuda técnica,Não
